,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,gmtOffsetMilliSeconds,quoteType
2121,FLT,"FLEETCOR Technologies, Inc.",2020-02-06T05:00:00.000Z,TNS,3.14,3.17,1.12,0,EQUITY
2122,FFG,"FBL Financial Group, Inc.",2020-02-06T05:00:00.000Z,TNS,1.25,1.41,12.8,0,EQUITY
2123,MYGN,"Myriad Genetics, Inc.",2020-02-06T05:00:00.000Z,TNS,0.29,0.23,-21.77,0,EQUITY
2124,EAF,GrafTech International Ltd.,2020-02-06T05:00:00.000Z,TNS,0.55,0.61,11.11,0,EQUITY
2125,GLOP-PC,GasLog Partners LP,2020-02-06T05:00:00.000Z,TNS,0.48,0.57,18.5,0,EQUITY
2126,GLOG,GasLog Ltd.,2020-02-06T05:00:00.000Z,TNS,0.24,0.14,-42.39,0,EQUITY
2127,GLOG-PA,GasLog Ltd.,2020-02-06T05:00:00.000Z,TNS,0.24,0.14,-42.39,0,EQUITY
2128,SPGI,S&P Global Inc.,2020-02-06T05:00:00.000Z,TNS,2.43,2.53,4.03,0,EQUITY
2129,GIGA,Giga-tronics Inc,2020-02-07T02:00:00.000Z,AMC,,,,0,EQUITY
2130,GLYYF,Glory Ltd.,2020-02-06T05:00:00.000Z,TNS,,39.35,,0,EQUITY
2131,PENN,"Penn National Gaming, Inc.",2020-02-06T05:00:00.000Z,TNS,0.37,0.7,89.7,0,EQUITY
2132,THR,"Thermon Group Holdings, Inc.",2020-02-06T05:00:00.000Z,TNS,0.42,0.28,-33.33,0,EQUITY
2133,TGI,"Triumph Group, Inc.",2020-02-06T05:00:00.000Z,TNS,0.71,0.69,-2.4,0,EQUITY
2134,RMR,The RMR Group Inc.,2020-02-06T05:00:00.000Z,TNS,0.58,0.58,0.17,0,EQUITY
2135,HUBG,"Hub Group, Inc.",2020-02-06T05:00:00.000Z,TNS,0.83,0.84,1.08,0,EQUITY
2136,ING,ING Groep N.V.,2020-02-06T05:00:00.000Z,TNS,,,,0,EQUITY
2137,SGEN,"Seattle Genetics, Inc.",2020-02-06T05:00:00.000Z,TNS,-0.45,0.14,130.84,0,EQUITY
2138,SGLOF,Sushiro Global Holdings Ltd.,2020-02-06T05:00:00.000Z,TNS,,26.12,,0,EQUITY
2139,INGVF,ING Groep N.V.,2020-02-06T05:00:00.000Z,TNS,0.3,0.23,-22.03,0,EQUITY
2140,GLOP,GasLog Partners LP,2020-02-06T05:00:00.000Z,TNS,0.48,0.57,18.5,0,EQUITY
2141,G,Genpact Limited,2020-02-06T05:00:00.000Z,TNS,0.56,0.57,2.52,0,EQUITY
2142,NPTVF,"Nippon Television Holdings, Inc.",2020-02-06T05:00:00.000Z,TNS,36.71,41.12,12.01,0,EQUITY
2143,POST,"Post Holdings, Inc.",2020-02-06T05:00:00.000Z,TNS,1.14,0.76,-33.22,0,EQUITY
2144,PRO,"PROS Holdings, Inc.",2020-02-06T05:00:00.000Z,TNS,-0.09,-0.11,-25.0,0,EQUITY
2145,ULH,"Universal Logistics Holdings, Inc.",2020-02-06T05:00:00.000Z,TNS,0.29,0.32,9.97,0,EQUITY
2146,ITRUF,Intertrust N.V.,2020-02-06T05:00:00.000Z,TNS,0.37,0.45,21.62,0,EQUITY
2147,PJT,PJT Partners Inc.,2020-02-06T05:00:00.000Z,TNS,0.91,1.02,12.46,0,EQUITY
2148,TNAV,"Telenav, Inc.",2020-02-06T05:00:00.000Z,TNS,-0.08,0.15,276.47,0,EQUITY
2149,LGHEF,Lightspeed POS Inc.,2020-02-06T05:00:00.000Z,TNS,-0.09,-0.18,-95.65,0,EQUITY
2150,MEIP,"MEI Pharma, Inc.",2020-02-06T05:00:00.000Z,TNS,-0.17,-0.26,-54.76,0,EQUITY
2151,LPTH,"LightPath Technologies, Inc.",2020-02-06T05:00:00.000Z,TNS,0.0,0.03,,0,EQUITY
2152,MOBL,"MobileIron, Inc.",2020-02-06T05:00:00.000Z,TNS,0.04,0.01,-72.97,0,EQUITY
2153,NTUS,Natus Medical Incorporated,2020-02-06T05:00:00.000Z,TNS,0.47,0.46,-2.13,0,EQUITY
2154,NOV,"National Oilwell Varco, Inc.",2020-02-06T05:00:00.000Z,TNS,0.16,0.4,156.41,0,EQUITY
2155,ZEN,"Zendesk, Inc.",2020-02-06T05:00:00.000Z,TNS,0.1,0.1,-1.96,0,EQUITY
2156,LMAT,"LeMaitre Vascular, Inc.",2020-02-06T05:00:00.000Z,TNS,0.23,0.23,1.32,0,EQUITY
2157,MMS,"MAXIMUS, Inc.",2020-02-06T05:00:00.000Z,TNS,0.91,0.91,0.44,0,EQUITY
2158,SYNA,Synaptics Incorporated,2020-02-06T05:00:00.000Z,TNS,1.45,2.04,41.08,0,EQUITY
2159,PMT-PB,PennyMac Mortgage Investment Trust,2020-02-06T05:00:00.000Z,TNS,0.54,0.55,2.42,0,EQUITY
2160,PRLB,"Proto Labs, Inc.",2020-02-06T05:00:00.000Z,TNS,0.63,0.63,0.64,0,EQUITY
2161,TMUS,"T-Mobile US, Inc.",2020-02-06T05:00:00.000Z,TNS,0.83,0.87,5.2,0,EQUITY
2162,TPR,"Tapestry, Inc.",2020-02-06T05:00:00.000Z,TNS,0.99,1.1,11.56,0,EQUITY
2163,SAPIF,Saputo Inc.,2020-02-06T05:00:00.000Z,TNS,0.48,0.5,3.52,0,EQUITY
2164,PXLW,"Pixelworks, Inc.",2020-02-06T05:00:00.000Z,TNS,-0.07,-0.06,14.29,0,EQUITY
2165,VNWTF,Vecima Networks Inc.,2020-02-06T05:00:00.000Z,TNS,-0.05,0.15,372.73,0,EQUITY
2166,PINS,"Pinterest, Inc.",2020-02-06T05:00:00.000Z,TNS,0.08,0.12,53.85,0,EQUITY
2167,PMT,PennyMac Mortgage Investment Trust,2020-02-06T05:00:00.000Z,TNS,0.54,0.55,2.42,0,EQUITY
2168,UBER,"Uber Technologies, Inc.",2020-02-06T05:00:00.000Z,TNS,-0.67,-0.64,5.19,0,EQUITY
2169,UTI,"Universal Technical Institute, Inc.",2020-02-06T05:00:00.000Z,TNS,0.02,0.07,250.0,0,EQUITY
2170,OMCL,"Omnicell, Inc.",2020-02-06T05:00:00.000Z,TNS,0.78,0.77,-1.41,0,EQUITY
2171,LGND,Ligand Pharmaceuticals Incorporated,2020-02-06T05:00:00.000Z,TNS,0.64,0.71,10.59,0,EQUITY
2172,UBNT,Ubiquiti Networks Inc,2020-02-06T18:30:00.000Z,BMO,,,,0,EQUITY
2173,TWTR,"Twitter, Inc.",2020-02-06T05:00:00.000Z,TNS,0.29,0.25,-12.59,0,EQUITY
2174,SVM,Silvercorp Metals Inc.,2020-02-06T05:00:00.000Z,TNS,0.07,0.04,-38.46,0,EQUITY
2175,NLOK,NortonLifeLock Inc.,2020-02-06T05:00:00.000Z,TNS,0.08,0.25,224.68,0,EQUITY
2176,NR,"Newpark Resources, Inc.",2020-02-06T05:00:00.000Z,TNS,0.0,0.0,-50.0,0,EQUITY
2177,PM,Philip Morris International Inc.,2020-02-06T05:00:00.000Z,TNS,1.21,1.22,0.83,0,EQUITY
2178,ONTO,Onto Innovation Inc.,2020-02-06T05:00:00.000Z,TNS,0.39,0.41,6.22,0,EQUITY
2179,TTWO,"Take-Two Interactive Software, Inc.",2020-02-06T05:00:00.000Z,TNS,1.75,1.63,-6.75,0,EQUITY
2180,VSTO,Vista Outdoor Inc.,2020-02-06T05:00:00.000Z,TNS,0.13,0.21,62.79,0,EQUITY
2181,VRSN,"VeriSign, Inc.",2020-02-06T05:00:00.000Z,TNS,1.33,1.31,-1.58,0,EQUITY
2182,IDRSF,Idorsia Ltd,2020-02-06T05:00:00.000Z,TNS,-1.01,-1.08,-6.4,0,EQUITY
2183,LQDT,"Liquidity Services, Inc.",2020-02-06T05:00:00.000Z,TNS,-0.11,-0.12,-4.35,0,EQUITY
2184,SKX,"Skechers U.S.A., Inc.",2020-02-06T05:00:00.000Z,TNS,0.39,0.39,0.0,0,EQUITY
2185,SNA,Snap-on Incorporated,2020-02-06T05:00:00.000Z,TNS,3.08,3.08,0.0,0,EQUITY
2186,MPW,"Medical Properties Trust, Inc.",2020-02-06T05:00:00.000Z,TNS,0.23,0.26,11.59,0,EQUITY
2187,IIJIF,Internet Initiative Japan Inc.,2020-02-06T05:00:00.000Z,TNS,,35.44,,0,EQUITY
2188,JAPAF,Japan Tobacco Inc.,2020-02-06T05:00:00.000Z,TNS,16.97,18.14,6.9,0,EQUITY
2189,PSTI,Pluristem Therapeutics Inc.,2020-02-06T05:00:00.000Z,TNS,-0.52,-0.4,23.81,0,EQUITY
2190,IMKTA,"Ingles Markets, Incorporated",2020-02-06T05:00:00.000Z,TNS,,,,0,EQUITY
2191,XYL,Xylem Inc.,2020-02-06T05:00:00.000Z,TNS,0.89,0.89,0.0,0,EQUITY
2192,VSAT,"Viasat, Inc.",2020-02-06T05:00:00.000Z,TNS,-0.01,0.1,1100.0,0,EQUITY
2193,REGN,"Regeneron Pharmaceuticals, Inc.",2020-02-06T05:00:00.000Z,TNS,6.92,7.5,8.33,0,EQUITY
2194,MSI,"Motorola Solutions, Inc.",2020-02-06T05:00:00.000Z,TNS,2.79,2.94,5.57,0,EQUITY
2195,MTD,Mettler-Toledo International Inc.,2020-02-06T05:00:00.000Z,TNS,7.68,7.78,1.29,0,EQUITY
2196,OIIM,O2Micro International Limited,2020-02-06T05:00:00.000Z,TNS,-0.03,0.05,266.67,0,EQUITY
2197,KNCRF,Konecranes Plc,2020-02-06T05:00:00.000Z,TNS,0.7,0.77,9.53,0,EQUITY
2198,KBSTF,"Kobe Steel, Ltd.",2020-02-06T05:00:00.000Z,TNS,12.13,37.22,206.8,0,EQUITY
2199,SBIZF,SymBio Pharmaceuticals Limited,2020-02-06T05:00:00.000Z,TNS,,,,0,EQUITY
2200,SILDF,"Sintokogio,Ltd.",2020-02-06T05:00:00.000Z,TNS,,14.48,,0,EQUITY
2201,WYNMF,"Wynn Macau, Limited",2020-02-06T05:00:00.000Z,TNS,0.25,,,0,EQUITY
2202,SPSTY,Singapore Post Limited,2020-02-06T05:00:00.000Z,TNS,,0.01,,0,EQUITY
2203,SPH,"Suburban Propane Partners, L.P.",2020-02-06T05:00:00.000Z,TNS,0.69,0.64,-6.98,0,EQUITY
2204,UNIKF,Unitika Ltd.,2020-02-06T05:00:00.000Z,TNS,,3.14,,0,EQUITY
2205,WYNN,"Wynn Resorts, Limited",2020-02-06T05:00:00.000Z,TNS,0.91,0.86,-5.18,0,EQUITY
2206,SPSTF,Singapore Post Limited,2020-02-06T05:00:00.000Z,TNS,,0.01,,0,EQUITY
2207,NTXFF,Natixis S.A.,2020-02-06T05:00:00.000Z,TNS,0.11,0.11,-5.31,0,EQUITY
2208,NTXFY,Natixis S.A.,2020-02-06T05:00:00.000Z,TNS,0.13,0.11,-17.69,0,EQUITY
2209,WRDEF,Wereldhave N.V.,2020-02-06T05:00:00.000Z,TNS,,,,0,EQUITY
2210,OUKPY,Outotec Oyj,2020-02-06T05:00:00.000Z,TNS,0.15,0.11,-26.67,0,EQUITY
2211,OUKPF,Outotec Oyj,2020-02-06T05:00:00.000Z,TNS,0.15,0.11,-26.67,0,EQUITY
2212,SAXPF,Sampo Oyj,2020-02-06T05:00:00.000Z,TNS,0.71,0.66,-6.65,0,EQUITY
2213,SAXPY,Sampo Oyj,2020-02-06T05:00:00.000Z,TNS,0.71,0.66,-6.65,0,EQUITY
2214,PRSEF,Prosafe SE,2020-02-06T05:00:00.000Z,TNS,-0.4,-0.15,62.5,0,EQUITY
2215,UNCFF,UniCredit S.p.A.,2020-02-06T05:00:00.000Z,TNS,,,,0,EQUITY
2216,TSE,Trinseo S.A.,2020-02-06T05:00:00.000Z,TNS,0.48,0.35,-26.93,0,EQUITY
2217,TOT,TOTAL S.A.,2020-02-06T05:00:00.000Z,TNS,0.98,1.19,20.93,0,EQUITY
2218,SNYNF,Sanofi,2020-02-06T05:00:00.000Z,TNS,1.29,1.34,3.63,0,EQUITY
2219,SNY,Sanofi,2020-02-06T05:00:00.000Z,TNS,0.69,0.74,7.54,0,EQUITY
2220,TTFNF,TOTAL S.A.,2020-02-06T05:00:00.000Z,TNS,0.99,1.19,20.2,0,EQUITY
2221,MEISF,,2020-02-06T05:00:00.000Z,TNS,,,,0,EQUITY
2222,JAPAY,,2020-02-06T05:00:00.000Z,TNS,,0.08,,0,EQUITY
2223,NPFUF,,2020-02-06T05:00:00.000Z,TNS,,,,0,EQUITY
2224,XIORF,,2020-02-06T05:00:00.000Z,TNS,,,,0,EQUITY
2225,SPRBF,SpareBank 1 Ostlandet,2020-02-07T05:00:00.000Z,TNS,2.2,1.71,-22.27,0,EQUITY
2226,MTAGF,Ceconomy AG,2020-02-07T05:00:00.000Z,TNS,,0.47,,0,EQUITY
2227,ABBV,AbbVie Inc.,2020-02-07T05:00:00.000Z,TNS,2.19,2.21,0.82,0,EQUITY
2228,BDABF,Boule Diagnostics AB (publ),2020-02-07T05:00:00.000Z,TNS,0.51,0.37,-27.45,0,EQUITY
2229,EMSHF,EMS-CHEMIE HOLDING AG,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2230,AMDWF,"Amada Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,,12.79,,0,EQUITY
2231,AKEJF,"ARIAKE JAPAN Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,75.69,75.94,0.32,0,EQUITY
2232,IDTVF,AB Industrivarden (publ),2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2233,ENTOF,Entra ASA,2020-02-07T05:00:00.000Z,TNS,1.81,1.53,-15.47,0,EQUITY
2234,DSDVF,DSV Panalpina A/S,2020-02-07T05:00:00.000Z,TNS,5.25,4.9,-6.67,0,EQUITY
2235,SAABF,Saab AB (publ),2020-02-07T05:00:00.000Z,TNS,7.28,6.6,-9.34,0,EQUITY
2236,AVTR-PA,"Avantor, Inc.",2020-02-07T05:00:00.000Z,TNS,0.16,0.19,18.01,0,EQUITY
2237,YRAIF,Yara International ASA,2020-02-07T05:00:00.000Z,TNS,0.59,0.8,34.91,0,EQUITY
2238,KCDMY,"Kimberly-Clark de Mexico, S. A. B. de C. V.",2020-02-07T05:00:00.000Z,TNS,0.47,0.47,0.0,0,EQUITY
2239,NVO,Novo Nordisk A/S,2020-02-07T05:00:00.000Z,TNS,0.55,0.55,-0.36,0,EQUITY
2240,NDCVF,Nordic Semiconductor ASA,2020-02-07T05:00:00.000Z,TNS,0.01,0.03,500.0,0,EQUITY
2241,NHYKF,Norsk Hydro ASA,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2242,AVTR,"Avantor, Inc.",2020-02-07T05:00:00.000Z,TNS,0.16,0.19,18.01,0,EQUITY
2243,AKRTF,Aker Solutions ASA,2020-02-07T05:00:00.000Z,TNS,0.22,0.08,-64.13,0,EQUITY
2244,SKSBF,Skanska AB (publ),2020-02-07T05:00:00.000Z,TNS,5.49,5.32,-3.01,0,EQUITY
2245,TYIBF,Turkiye Is Bankasi A.S.,2020-02-07T05:00:00.000Z,TNS,0.46,0.43,-6.52,0,EQUITY
2246,MTTRY,Ceconomy AG,2020-02-07T05:00:00.000Z,TNS,,0.47,,0,EQUITY
2247,NHYDY,Norsk Hydro ASA,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2248,AFXXF,AF Poyry AB (publ),2020-02-07T05:00:00.000Z,TNS,1.99,3.26,63.57,0,EQUITY
2249,BITGF,Biotage AB,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2250,XMMRF,XMReality AB (publ),2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2251,ASX,"ASE Technology Holding Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,0.09,0.1,7.78,0,EQUITY
2252,XAIR,"Beyond Air, Inc.",2020-02-07T05:00:00.000Z,TNS,-0.34,-0.43,-26.47,0,EQUITY
2253,KCDMF,"Kimberly-Clark de Mexico, S. A. B. de C. V.",2020-02-07T05:00:00.000Z,TNS,0.47,0.47,0.0,0,EQUITY
2254,PLAZF,Platzer Fastigheter Holding AB (publ),2020-02-07T05:00:00.000Z,TNS,1.17,0.98,-16.24,0,EQUITY
2255,VIVO,"Meridian Bioscience, Inc.",2020-02-07T05:00:00.000Z,TNS,0.07,0.1,53.85,0,EQUITY
2256,NECB,Northeast Community Bancorp Inc,2020-02-07T15:59:00.000Z,TNS,,,,0,EQUITY
2257,SRNN,Southern Banc Company Inc,2020-02-07T15:59:00.000Z,TNS,,,,0,EQUITY
2258,CIVB,"Civista Bancshares, Inc.",2020-02-07T05:00:00.000Z,TNS,0.48,0.47,-1.47,0,EQUITY
2259,RBKB,Rhinebeck Bancorp Inc,2020-02-08T02:00:00.000Z,AMC,,,,0,EQUITY
2260,CBIXF,"Carna Biosciences, Inc.",2020-02-07T05:00:00.000Z,TNS,,-24.75,,0,EQUITY
2261,BSEFF,"Benesse Holdings, Inc.",2020-02-07T05:00:00.000Z,TNS,,49.85,,0,EQUITY
2262,CHBAF,"The Chiba Bank, Ltd.",2020-02-07T05:00:00.000Z,TNS,17.91,17.7,-1.17,0,EQUITY
2264,WSTTF,Westports Holdings Berhad,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2265,BCH,Banco de Chile,2020-02-07T05:00:00.000Z,TNS,0.39,0.39,-1.53,0,EQUITY
2266,BMDPF,Banca Monte dei Paschi di Siena S.p.A.,2020-02-07T05:00:00.000Z,TNS,-0.02,-1.1,-5400.0,0,EQUITY
2267,TCCO,Technical Communications Corp,2020-02-08T02:00:00.000Z,AMC,,,,0,EQUITY
2268,CNHI,CNH Industrial N.V.,2020-02-07T05:00:00.000Z,TNS,0.19,0.2,3.63,0,EQUITY
2269,CCJ,Cameco Corporation,2020-02-07T05:00:00.000Z,TNS,0.16,0.24,53.85,0,EQUITY
2270,GRC,The Gorman-Rupp Company,2020-02-07T05:00:00.000Z,TNS,0.34,0.32,-5.88,0,EQUITY
2271,MSG,Madison Square Garden Sports Corp,2020-02-07T12:00:11.000Z,TAS,2.63,3.93,49.43,0,EQUITY
2272,SKXJF,"Sankyo Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2273,TBNAF,Tachibana Eletech Co. Ltd.,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2274,UMC,United Microelectronics Corporation,2020-02-07T05:00:00.000Z,TNS,0.06,0.05,-10.0,0,EQUITY
2275,JMCCF,JAMCO Corporation,2020-02-07T05:00:00.000Z,TNS,,9.94,,0,EQUITY
2276,NCTKF,Nabtesco Corporation,2020-02-07T05:00:00.000Z,TNS,,45.74,,0,EQUITY
2277,GOOS,Canada Goose Holdings Inc.,2020-02-07T05:00:00.000Z,TNS,1.07,1.08,0.75,0,EQUITY
2278,CET,Central Securities Corp,2020-02-08T02:00:00.000Z,AMC,,,,0,EQUITY
2279,CSASF,"Credit Saison Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,41.56,97.21,133.9,0,EQUITY
2280,NMRSF,"Namura Shipbuilding Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2281,SUCEF,"Sumitomo Osaka Cement Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,106.3,82.06,-22.8,0,EQUITY
2282,TSMRF,Tsumura & Co.,2020-02-07T05:00:00.000Z,TNS,,60.83,,0,EQUITY
2283,TKNOF,"Takano Co.,Ltd.",2020-02-07T05:00:00.000Z,TNS,,0.71,,0,EQUITY
2284,SZKMF,Suzuki Motor Corporation,2020-02-07T05:00:00.000Z,TNS,93.02,79.46,-14.58,0,EQUITY
2285,STMNF,"Sumitomo Metal Mining Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2286,CAPS,Capstone Therapeutics Corp,2020-02-07T18:30:00.000Z,BMO,,,,0,EQUITY
2287,MSGS-WI,Madison Square Garden Sports Corp.,2020-02-07T05:00:00.000Z,TNS,2.63,3.93,49.32,0,EQUITY
2288,RFLFF,Raffles Education Corporation Limited,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2289,MSGS,Madison Square Garden Sports Corp.,2020-02-07T05:00:00.000Z,TNS,2.63,3.93,49.32,0,EQUITY
2290,OTIS,Otis Worldwide Corporation,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2291,CTGO,Contango ORE Inc,2020-02-07T15:59:00.000Z,TNS,,,,0,EQUITY
2292,CGTFF,Columbus Gold Corp.,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2293,UFS,Domtar Corporation,2020-02-07T05:00:00.000Z,TNS,-0.04,0.03,176.92,0,EQUITY
2294,HMC,"Honda Motor Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2295,CAJ,Canon Inc.,2020-02-07T05:00:00.000Z,TNS,0.42,0.28,-32.62,0,EQUITY
2296,CPADF,Cookpad Inc.,2020-02-07T05:00:00.000Z,TNS,,-13.6,,0,EQUITY
2297,DAIUF,"Daifuku Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,67.08,68.59,2.25,0,EQUITY
2298,CFSKF,"Chofu Seisakusho Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,,32.9,,0,EQUITY
2299,SZKMY,Suzuki Motor Corporation,2020-02-07T05:00:00.000Z,TNS,93.02,79.46,-14.58,0,EQUITY
2300,THYCF,Taiheiyo Cement Corporation,2020-02-07T05:00:00.000Z,TNS,142.3,117.16,-17.67,0,EQUITY
2301,SATOF,Sato Holdings Corporation,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2302,TISCF,Taisei Corporation,2020-02-07T05:00:00.000Z,TNS,,112.55,,0,EQUITY
2303,KSANF,"Kansai Paint Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,26.06,25.02,-3.99,0,EQUITY
2304,NISTF,Nippon Steel Corporation,2020-02-07T05:00:00.000Z,TNS,9.01,-430.32,-4876.03,0,EQUITY
2305,NPPRF,"Nippon Ceramic Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,24.62,26.65,8.26,0,EQUITY
2306,OKIEF,"Oki Electric Industry Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,41.45,36.09,-12.93,0,EQUITY
2307,FKCIF,"Fukui Computer Holdings,Inc.",2020-02-07T05:00:00.000Z,TNS,,28.28,,0,EQUITY
2308,HASGF,"T. Hasegawa Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,,28.29,,0,EQUITY
2309,LEOPF,Leopalace21 Corporation,2020-02-07T05:00:00.000Z,TNS,,1.24,,0,EQUITY
2310,HNDAF,"Honda Motor Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,74.62,66.5,-10.88,0,EQUITY
2311,HOIEF,Hosiden Corporation,2020-02-07T05:00:00.000Z,TNS,,60.95,,0,EQUITY
2312,SNKOF,"Sanko Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,,21.69,,0,EQUITY
2313,SKIGF,"Sanki Engineering Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,,30.75,,0,EQUITY
2314,RNDOF,Round One Corporation,2020-02-07T05:00:00.000Z,TNS,,-1.83,,0,EQUITY
2315,TSSJF,"Tsutsumi Jewelry Co.,Ltd.",2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2316,TOAOF,"TOA Oil Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2317,DJCO,Daily Journal Corp,2020-02-07T19:29:11.000Z,TAS,,,,0,EQUITY
2318,SEGSF,SIA Engineering Company Limited,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2319,PFHD,Professional Holding Corp.,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2320,CARR,Carrier Global Corporation,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2325,FUBAF,Futaba Corporation,2020-02-07T05:00:00.000Z,TNS,,-17.7,,0,EQUITY
2326,SFBQF,SoftBank Corp.,2020-02-07T05:00:00.000Z,TNS,27.16,23.01,-15.29,0,EQUITY
2327,MIZUF,Mizuno Corporation,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2328,MTSFF,"Mitsui Fudosan Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,38.58,36.85,-4.49,0,EQUITY
2329,ONMBF,"Onamba Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,,11.52,,0,EQUITY
2330,PNOCF,"Penta-Ocean Construction Co., Ltd.",2020-02-07T05:00:00.000Z,TNS,,20.32,,0,EQUITY
2331,RICOF,"Ricoh Company, Ltd.",2020-02-07T05:00:00.000Z,TNS,25.92,16.86,-34.95,0,EQUITY
2332,MSGE,Madison Square Garden Entertainment Corp.,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2333,NIOBF,NioCorp Developments Ltd.,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2334,GASNF,"Naturgy Energy Group, S.A.",2020-02-07T05:00:00.000Z,TNS,0.44,0.5,13.64,0,EQUITY
2335,FSRPF,Frasers Property Limited,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2336,FLTDF,Flow Traders N.V.,2020-02-07T05:00:00.000Z,TNS,0.27,0.16,-41.39,0,EQUITY
2337,FNNNF,Finnair Oyj,2020-02-07T05:00:00.000Z,TNS,-0.11,0.15,231.58,0,EQUITY
2338,NATH,"Nathan's Famous, Inc.",2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2339,YFGSF,"Yamaguchi Financial Group, Inc.",2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2340,WF,Woori Financial Group Inc.,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2341,ULPRF,"ULS Group, Inc.",2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2342,RGEDF,Richter Gedeon Vegyeszeti Gyar Nyilvanosan Mukodo Rt.,2020-02-07T05:00:00.000Z,TNS,,-78.78,,0,EQUITY
2343,PAGP,"Plains GP Holdings, L.P.",2020-02-07T05:00:00.000Z,TNS,0.49,0.35,-28.72,0,EQUITY
2344,GUORF,GL Limited,2020-02-07T05:00:00.000Z,TNS,,,,0,EQUITY
2345,HTHIY,"Hitachi, Ltd.",2020-02-07T05:00:00.000Z,TNS,0.53,-2.56,-582.26,0,EQUITY
2346,SHHPF,"Ship Healthcare Holdings, Inc.",2020-02-07T05:00:00.000Z,TNS,59.44,46.02,-22.58,0,EQUITY
2348,HBI,Hanesbrands Inc.,2020-02-07T05:00:00.000Z,TNS,0.51,0.51,0.59,0,EQUITY
2349,SAEX,SAExploration Holdings Inc,2020-02-08T02:00:00.000Z,AMC,,,,0,EQUITY
2350,LIVX,"LiveXLive Media, Inc.",2020-02-07T05:00:00.000Z,TNS,-0.16,-0.15,3.85,0,EQUITY
2351,UI,Ubiquiti Inc.,2020-02-07T05:00:00.000Z,TNS,1.48,1.4,-5.08,0,EQUITY
2352,ISUZF,Isuzu Motors Limited,2020-02-07T05:00:00.000Z,TNS,36.22,37.38,3.19,0,EQUITY
2353,MDTKF,MediaTek Inc.,2020-02-07T05:00:00.000Z,TNS,4.11,3.99,-2.85,0,EQUITY
2354,MIXIF,"mixi, Inc.",2020-02-07T05:00:00.000Z,TNS,,-23.43,,0,EQUITY
2355,RSOTF,"Resorttrust, Inc.",2020-02-07T05:00:00.000Z,TNS,18.31,14.99,-18.15,0,EQUITY
2356,NTOIF,Neste Oyj,2020-02-07T05:00:00.000Z,TNS,0.76,0.92,20.89,0,EQUITY
2357,YITYY,YIT Oyj,2020-02-07T05:00:00.000Z,TNS,0.44,0.35,-20.81,0,EQUITY
2358,YITYF,YIT Oyj,2020-02-07T05:00:00.000Z,TNS,0.44,0.35,-20.81,0,EQUITY
