,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,gmtOffsetMilliSeconds,quoteType
4391,BGS,"B&G Foods, Inc.",2020-02-25T05:00:00.000Z,TNS,0.28,0.28,1.45,0,EQUITY
4392,TOL,"Toll Brothers, Inc.",2020-02-25T05:00:00.000Z,TNS,0.45,0.41,-9.69,0,EQUITY
4393,IOVA,"Iovance Biotherapeutics, Inc.",2020-02-25T05:00:00.000Z,TNS,-0.41,-0.5,-20.48,0,EQUITY
4394,SBBP,Strongbridge Biopharma plc,2020-02-25T05:00:00.000Z,TNS,-0.26,-0.25,3.85,0,EQUITY
4395,PNADF,PETRONAS Dagangan Berhad,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4396,COKE,"Coca-Cola Consolidated, Inc.",2020-02-25T05:00:00.000Z,TNS,2.31,1.51,-34.66,0,EQUITY
4397,CAPL,CrossAmerica Partners LP,2020-02-25T05:00:00.000Z,TNS,0.19,0.12,-35.83,0,EQUITY
4398,CLLDF,CapitaLand Limited,2020-02-25T05:00:00.000Z,TNS,0.06,0.08,40.0,0,EQUITY
4399,LNG,"Cheniere Energy, Inc.",2020-02-25T05:00:00.000Z,TNS,0.47,3.34,607.63,0,EQUITY
4400,MIC,Macquarie Infrastructure Corporation,2020-02-25T05:00:00.000Z,TNS,0.29,0.16,-44.83,0,EQUITY
4401,GMDA,Gamida Cell Ltd.,2020-02-25T05:00:00.000Z,TNS,-0.34,-0.31,9.88,0,EQUITY
4402,HEI,HEICO Corporation,2020-02-25T05:00:00.000Z,TNS,0.77,0.89,16.19,0,EQUITY
4403,VCEL,Vericel Corporation,2020-02-25T05:00:00.000Z,TNS,0.2,0.2,1.52,0,EQUITY
4404,SIM,"Grupo Simec, S.A.B. de C.V.",2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4405,NSANY,"Nissan Motor Co., Ltd.",2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4406,FSTR,L.B. Foster Company,2020-02-25T05:00:00.000Z,TNS,0.41,0.08,-80.25,0,EQUITY
4407,INFN,Infinera Corporation,2020-02-25T05:00:00.000Z,TNS,-0.02,0.03,230.43,0,EQUITY
4408,RRD,R. R. Donnelley & Sons Company,2020-02-25T05:00:00.000Z,TNS,0.46,0.44,-4.35,0,EQUITY
4409,CDEVF,City Developments Limited,2020-02-25T05:00:00.000Z,TNS,0.14,0.09,-35.71,0,EQUITY
4410,CLIGF,Clinigen Group plc,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4411,HURN,Huron Consulting Group Inc.,2020-02-25T05:00:00.000Z,TNS,0.64,0.79,23.44,0,EQUITY
4412,TAST,"Carrols Restaurant Group, Inc.",2020-02-25T05:00:00.000Z,TNS,-0.05,-0.12,-135.29,0,EQUITY
4413,CHCT,Community Healthcare Trust Incorporated,2020-02-25T05:00:00.000Z,TNS,0.15,0.09,-40.0,0,EQUITY
4414,TIGO,Millicom International Cellular S.A.,2020-02-25T05:00:00.000Z,TNS,0.3,2.2,633.33,0,EQUITY
4416,GMBXF,"Grupo Mexico, S.A.B. de C.V.",2020-02-25T05:00:00.000Z,TNS,0.04,0.1,132.56,0,EQUITY
4417,GNMLF,"Genomma Lab Internacional, S.A.B. de C.V.",2020-02-25T05:00:00.000Z,TNS,0.28,0.25,-10.07,0,EQUITY
4418,KNKZF,KWS SAAT SE & Co. KGaA,2020-02-25T05:00:00.000Z,TNS,-1.22,-1.27,-4.1,0,EQUITY
4419,MICCF,Millicom International Cellular S.A.,2020-02-25T05:00:00.000Z,TNS,0.26,2.2,746.15,0,EQUITY
4420,DRUNF,Dream Unlimited Corp.,2020-02-25T05:00:00.000Z,TNS,0.25,3.21,1199.6,0,EQUITY
4421,CSGP,"CoStar Group, Inc.",2020-02-25T05:00:00.000Z,TNS,2.62,2.82,7.67,0,EQUITY
4422,UIS,Unisys Corporation,2020-02-25T05:00:00.000Z,TNS,0.65,0.6,-7.69,0,EQUITY
4423,RLGY,Realogy Holdings Corp.,2020-02-25T05:00:00.000Z,TNS,0.09,0.2,122.22,0,EQUITY
4424,CQP,"Cheniere Energy Partners, L.P.",2020-02-25T05:00:00.000Z,TNS,0.75,0.87,16.15,0,EQUITY
4425,FCN,"FTI Consulting, Inc.",2020-02-25T05:00:00.000Z,TNS,0.93,0.81,-12.62,0,EQUITY
4426,CSLT,"Castlight Health, Inc.",2020-02-25T05:00:00.000Z,TNS,-0.03,-0.05,-85.19,0,EQUITY
4427,RM,Regional Management Corp.,2020-02-25T05:00:00.000Z,TNS,1.11,1.38,24.21,0,EQUITY
4428,VIST,"Vista Oil & Gas, S.A.B. de C.V.",2020-02-25T05:00:00.000Z,TNS,-0.25,-0.51,-104.0,0,EQUITY
4429,PODD,Insulet Corporation,2020-02-25T05:00:00.000Z,TNS,0.11,0.08,-25.93,0,EQUITY
4430,MFRVF,"Minera Frisco, S.A.B. de C.V.",2020-02-25T05:00:00.000Z,TNS,0.05,-0.18,-460.0,0,EQUITY
4431,TTAPF,TTW Public Company Limited,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4432,NVRO,Nevro Corp.,2020-02-25T05:00:00.000Z,TNS,-0.62,-0.44,29.49,0,EQUITY
4433,MTDR,Matador Resources Company,2020-02-25T05:00:00.000Z,TNS,0.28,0.39,38.79,0,EQUITY
4434,ETM,Entercom Communications Corp.,2020-02-25T05:00:00.000Z,TNS,0.38,0.46,21.05,0,EQUITY
4435,ENIC,Enel Chile S.A.,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4436,SRC,"Spirit Realty Capital, Inc.",2020-02-25T05:00:00.000Z,TNS,0.25,0.02,-92.09,0,EQUITY
4437,CTG,"Computer Task Group, Incorporated",2020-02-25T05:00:00.000Z,TNS,0.07,0.14,100.0,0,EQUITY
4438,USCR,"U.S. Concrete, Inc.",2020-02-25T05:00:00.000Z,TNS,0.84,0.47,-43.71,0,EQUITY
4439,NWVCF,EnWave Corporation,2020-02-25T05:00:00.000Z,TNS,0.0,-0.01,-100.0,0,EQUITY
4440,TRI,Thomson Reuters Corporation,2020-02-25T05:00:00.000Z,TNS,0.33,0.37,13.15,0,EQUITY
4441,CMRX,"Chimerix, Inc.",2020-02-25T05:00:00.000Z,TNS,-0.17,-0.06,64.5,0,EQUITY
4442,COOP,Mr. Cooper Group Inc.,2020-02-25T05:00:00.000Z,TNS,0.77,1.03,34.46,0,EQUITY
4443,HEIA,HEICO Corporation,2020-02-25T05:00:00.000Z,TNS,0.81,0.89,9.88,0,EQUITY
4444,HSKA,Heska Corporation,2020-02-25T05:00:00.000Z,TNS,-0.02,-0.23,-858.33,0,EQUITY
4445,MNKD,MannKind Corporation,2020-02-25T05:00:00.000Z,TNS,-0.07,-0.07,-6.06,0,EQUITY
4446,CMPRF,"Gentera, S.A.B. de C.V.",2020-02-25T05:00:00.000Z,TNS,0.53,0.49,-6.67,0,EQUITY
4448,NEWM,Gannett Co Inc,2020-02-25T18:30:00.000Z,BMO,0.24,,,0,EQUITY
4449,CZR,Caesars Entertainment Corporation,2020-02-25T05:00:00.000Z,TNS,-0.11,-0.45,-324.53,0,EQUITY
4450,ELEEF,Element Fleet Management Corp.,2020-02-25T05:00:00.000Z,TNS,0.23,0.24,3.0,0,EQUITY
4451,IRDM,Iridium Communications Inc.,2020-02-25T05:00:00.000Z,TNS,-0.22,-0.82,-276.15,0,EQUITY
4452,BLD,TopBuild Corp.,2020-02-25T05:00:00.000Z,TNS,1.42,1.48,4.3,0,EQUITY
4453,CAZGF,Catapult Group International Limited,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4454,VICR,Vicor Corporation,2020-02-25T05:00:00.000Z,TNS,0.09,0.03,-66.67,0,EQUITY
4455,SRC-PA,"Spirit Realty Capital, Inc.",2020-02-25T05:00:00.000Z,TNS,0.25,0.02,-92.09,0,EQUITY
4456,EOCCY,Enel Generacion Chile S.A.,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4457,PHXHF,PHX Energy Services Corp.,2020-02-25T05:00:00.000Z,TNS,0.01,-0.03,-475.0,0,EQUITY
4458,PBPB,Potbelly Corporation,2020-02-25T05:00:00.000Z,TNS,0.01,0.03,328.57,0,EQUITY
4459,PTVCB,Protective Insurance Corporation,2020-02-25T05:00:00.000Z,TNS,-0.04,0.05,225.0,0,EQUITY
4460,PRIM,Primoris Services Corporation,2020-02-25T05:00:00.000Z,TNS,0.53,0.53,-0.56,0,EQUITY
4461,HD,"The Home Depot, Inc.",2020-02-25T05:00:00.000Z,TNS,2.1,2.28,8.37,0,EQUITY
4462,DAR,Darling Ingredients Inc.,2020-02-25T05:00:00.000Z,TNS,0.22,1.44,548.65,0,EQUITY
4463,DWWEF,Diamond Estates Wines & Spirits Inc.,2020-02-25T05:00:00.000Z,TNS,,,,0,EQUITY
4464,DDS,"Dillard's, Inc.",2020-02-25T05:00:00.000Z,TNS,3.01,2.4,-20.37,0,EQUITY
4465,DRTT,DIRTT Environmental Solutions Ltd.,2020-02-25T05:00:00.000Z,TNS,0.01,-0.09,-1000.0,0,EQUITY
4466,DNR,Denbury Resources Inc.,2020-02-25T05:00:00.000Z,TNS,0.07,0.09,26.76,0,EQUITY
4467,DK,"Delek US Holdings, Inc.",2020-02-25T05:00:00.000Z,TNS,0.04,-0.11,-414.29,0,EQUITY
